ident,key,key.retro,key.brminors,name.last,name.first,name.given,birth.date
1916-SOUA:starr,cw:e22bebdf,starc101,starr-001cha,Starr,Charlie,Charles Watkin,18780830
1916-SOUA:stone,cw:f3b34551,stond101,stone-002dwi,Stone,Dwight,Dwight Ely,18860802
1916-SOUA:street,cw:3c9c25c8,streg101,street001cha,Street,Gabby,Charles Evard,18820930
1916-SOUA:swacina,cw:fbcbd0f2,swach101,swacin001har,Swacina,Harry,Harry Joseph,18810822
1916-SOUA:sylvester,cw:0980b93d,,sylves001har,Sylvester,Harry,Harry Benj,18890328
1916-SOUA:taylor,cw:5cffe24d,taylw101,taylor002phi,Taylor,Wiley,Philip Wiley,18880318
1916-SOUA:tennant,cw:3876bd32,tennt101,tennan001tho,Tennant,Tom,Thomas Francis,18820703
1916-SOUA:thomas,cw:94946073,thomf102,thomas004fre,Thomas,Fred,Frederick Harvey,18921219
1916-SOUA:thrasher,cw:24b5fe4d,thrab101,thrash001fra,Thrasher,Buck,Frank Edward,18890806
1916-SOUA:tillman,cw:097dcab6,tillj101,tillma001joh,Tillman,Johnny,John Lawrence,18931006
1916-SOUA:townsend,cw:4716cb47,townl101,townse002leo,Townsend,Leo,Leo Alphonse,18910115
1916-SOUA:walker-cha,cw:a60178d1,,walker001dix,Walker,Dixie,Dixie,
1916-SOUA:walker-lr,cw:6fe4a6a4,walke101,walker001ern,Walker,Ernie,Ernest Robert,18900917
1916-SOUA:walker-no,cw:da5a2899,walkr102,walker010jam,Walker,Roy,James Roy,18930413
1916-SOUA:wallace,cw:6004c5a3,wallj104,wallac001cla,Wallace,Jack,Clarence Eugene,18900806
1916-SOUA:walsh,cw:dcf89c36,,walsh-010jam,Walsh,James,James R.,
1916-SOUA:ward,cw:b1b81200,warda101,ward--001aar,Ward,Aaron,Aaron Lee,18960828
1916-SOUA:wares,cw:cc70f378,wareb101,wares-001cly,Wares,Buzzy,Clyde Ellsworth,18860523
1916-SOUA:watson,cw:e5f6ce18,,watson035---,Watson,,,
1916-SOUA:weaver,cw:2bed35bb,weavo101,weaver001orv,Weaver,Orlie,Orville Forest,18860604
1916-SOUA:wells,cw:9ebfd16f,,wells-001fra,Wells,Frank,Frank,
1916-SOUA:werner,cw:e212df1f,,werner001wal,Werner,Walter,Walter,
1916-SOUA:whalen,cw:659e819b,,whalen001fen,Whalen,Fenton,Fenton,
1916-SOUA:wheeler,cw:e5bd23d9,wheer101,wheele001flo,Wheeler,Rip,Floyd Clark,18980302
1916-SOUA:wilcox,cw:399daf3b,,wilcox001wil,Wilcox,William,William,
1916-SOUA:wiley,cw:3cc07deb,,wiley-001joe,Wiley,Joe,Joe,
1916-SOUA:willett,cw:41d454c5,wille103,willet002rob,Willett,Ed,Robert Edgar,18840307
1916-SOUA:williams-nas,cw:ea0c9472,willg103,willia001aug,Williams,Gus,August Joseph,18880507
1916-SOUA:williams-no,cw:0045610c,,willia001urb,Williams,Urban,Urban,
1916-SOUA:wilson,cw:b191b5f4,wilsf102,wilson001fin,Wilson,Fin,Finis Elbert,18881209
1916-SOUA:works,cw:41d0725a,workr101,works-002ral,Works,Ralph,Ralph Talmadge,18880316
1916-SOUA:wright,cw:767db504,wrigb101,wright002rob,Wright,Bob,Robert Cassius,18911213
1916-SOUA:yerkes,cw:b9468c5e,yerks101,yerkes001ste,Yerkes,Steve,Stephen Douglas,18880515
1916-SOUA:zinn,cw:78c31666,zinng101,zinn--001guy,Zinn,Guy,Guy,18870213
1916-TL:allen,cw:ce7bc03a,alles101,allen-001fle,Allen,Sled,Fletcher Manson,18860823
1916-TL:andreen,cw:0d8c2915,,andree001mik,Andreen,Mike,Morton Lavine,18900425
