league.year,league.name,entry.name,team.key
1919,American League,Cleveland,CLE
1919,American League,Detroit,DET
1919,American League,New York,NYA
1919,American League,Philadelphia,PHA
1919,American League,St. Louis,SLA
1919,American League,Washington,WS1
1919,National League,Boston,BSN
1919,National League,Brooklyn,BRO
1919,National League,Chicago,CHN
1919,National League,Cincinnati,CIN
1919,National League,New York,NY1
1919,National League,Philadelphia,PHI
1919,National League,Pittsburgh,PIT
1919,National League,St. Louis,SLN
1920,American League,Boston,BOS
1920,American League,Chicago,CHA
1920,American League,Cleveland,CLE
1920,American League,Detroit,DET
1920,American League,New York,NYA
1920,American League,Philadelphia,PHA
1920,American League,St. Louis,SLA
1920,American League,Washington,WS1
1920,National League,Boston,BSN
1920,National League,Brooklyn,BRO
1920,National League,Chicago,CHN
1920,National League,Cincinnati,CIN
1920,National League,New York,NY1
1920,National League,Philadelphia,PHI
1920,National League,Pittsburgh,PIT
1920,National League,St. Louis,SLN
1921,American League,Boston,BOS
1921,American League,Chicago,CHA
1921,American League,Cleveland,CLE
1921,American League,Detroit,DET
1921,American League,New York,NYA
1921,American League,Philadelphia,PHA
1921,American League,St. Louis,SLA
1921,American League,Washington,WS1
1921,National League,Boston,BSN
1921,National League,Brooklyn,BRO
1921,National League,Chicago,CHN
1921,National League,Cincinnati,CIN
1921,National League,New York,NY1
1921,National League,Philadelphia,PHI
1921,National League,Pittsburgh,PIT
1921,National League,St. Louis,SLN
1922,American League,Boston,BOS
1922,American League,Chicago,CHA
1922,American League,Cleveland,CLE
1922,American League,Detroit,DET
1922,American League,New York,NYA
1922,American League,Philadelphia,PHA
1922,American League,St. Louis,SLA
1922,American League,Washington,WS1
1922,National League,Boston,BSN
1922,National League,Brooklyn,BRO
1922,National League,Chicago,CHN
1922,National League,Cincinnati,CIN
1922,National League,New York,NY1
1922,National League,Philadelphia,PHI
1922,National League,Pittsburgh,PIT
1922,National League,St. Louis,SLN
1923,American League,Boston,BOS
1923,American League,Chicago,CHA
1923,American League,Cleveland,CLE
1923,American League,Detroit,DET
1923,American League,New York,NYA
1923,American League,Philadelphia,PHA
1923,American League,St. Louis,SLA
1923,American League,Washington,WS1
1923,National League,Boston,BSN
1923,National League,Brooklyn,BRO
1923,National League,Chicago,CHN
1923,National League,Cincinnati,CIN
1923,National League,New York,NY1
1923,National League,Philadelphia,PHI
1923,National League,Pittsburgh,PIT
1923,National League,St. Louis,SLN
1924,American League,Boston,BOS
1924,American League,Chicago,CHA
1924,American League,Cleveland,CLE
1924,American League,Detroit,DET
1924,American League,New York,NYA
1924,American League,Philadelphia,PHA
1924,American League,St. Louis,SLA
1924,American League,Washington,WS1
1924,National League,Boston,BSN
1924,National League,Brooklyn,BRO
1924,National League,Chicago,CHN
1924,National League,Cincinnati,CIN
1924,National League,New York,NY1
1924,National League,Philadelphia,PHI
1924,National League,Pittsburgh,PIT
1924,National League,St. Louis,SLN
1925,American League,Boston,BOS
1925,American League,Chicago,CHA
1925,American League,Cleveland,CLE
1925,American League,Detroit,DET
1925,American League,New York,NYA
1925,American League,Philadelphia,PHA
1925,American League,St. Louis,SLA
1925,American League,Washington,WS1
1925,National League,Boston,BSN
1925,National League,Brooklyn,BRO
1925,National League,Chicago,CHN
1925,National League,Cincinnati,CIN
1925,National League,New York,NY1
1925,National League,Philadelphia,PHI
1925,National League,Pittsburgh,PIT
1925,National League,St. Louis,SLN
1926,American League,Boston,BOS
1926,American League,Chicago,CHA
1926,American League,Cleveland,CLE
1926,American League,Detroit,DET
1926,American League,New York,NYA
1926,American League,Philadelphia,PHA
1926,American League,St. Louis,SLA
1926,American League,Washington,WS1
1926,National League,Boston,BSN
1926,National League,Brooklyn,BRO
1926,National League,Chicago,CHN
1926,National League,Cincinnati,CIN
1926,National League,New York,NY1
1926,National League,Philadelphia,PHI
1926,National League,Pittsburgh,PIT
1926,National League,St. Louis,SLN
1927,American League,Boston,BOS
1927,American League,Chicago,CHA
1927,American League,Cleveland,CLE
1927,American League,Detroit,DET
1927,American League,New York,NYA
1927,American League,Philadelphia,PHA
1927,American League,St. Louis,SLA
